TITLE = "B00134"
VARIABLES = "x", "y", "z", "Vx", "Vy", "Vz"
ZONE T="Frame 0", I=80, J=92, K=1
-33.349988 38.457685 8.000000 0.000000 0.000000 0.000000
-32.541961 38.457685 8.000000 0.000000 0.000000 0.000000
-31.733934 38.457685 8.000000 0.000000 0.000000 0.000000
-30.925906 38.457685 8.000000 0.000000 0.000000 0.000000
-30.117879 38.457685 8.000000 -0.011718 0.002064 -0.164806
-29.309852 38.457685 8.000000 -0.010006 0.001734 -0.161978
-28.501825 38.457685 8.000000 -0.009308 0.002128 -0.158787
-27.693798 38.457685 8.000000 -0.008766 0.005885 -0.152952
-26.885770 38.457685 8.000000 -0.006244 0.010877 -0.145767
-26.077743 38.457685 8.000000 -0.001315 0.015732 -0.135780
-25.269716 38.457685 8.000000 0.001027 0.016193 -0.131319
-24.461689 38.457685 8.000000 0.001954 0.015214 -0.128621
-23.653662 38.457685 8.000000 0.005016 0.015270 -0.120357
-22.845634 38.457685 8.000000 0.011989 0.017481 -0.101492
-22.037607 38.457685 8.000000 0.014746 0.017460 -0.088161
-21.229580 38.457685 8.000000 0.011606 0.013752 -0.082646
-20.421553 38.457685 8.000000 0.007027 0.010315 -0.077681
-19.613525 38.457685 8.000000 0.009369 0.011877 -0.062210
-18.805498 38.457685 8.000000 0.012174 0.013740 -0.048744
-17.997471 38.457685 8.000000 0.011760 0.013207 -0.043816
-17.189444 38.457685 8.000000 0.011113 0.011319 -0.037374
-16.381417 38.457685 8.000000 0.000553 0.001394 -0.007985
-15.573389 38.457685 8.000000 0.001945 -0.001450 0.016275
-14.765362 38.457685 8.000000 -0.002861 -0.003743 0.017272
-13.957335 38.457685 8.000000 -0.009641 -0.002704 -0.005029
-13.149308 38.457685 8.000000 0.000000 0.000000 0.000000
-12.341281 38.457685 8.000000 0.000000 0.000000 0.000000
-11.533253 38.457685 8.000000 0.000000 0.000000 0.000000
-10.725226 38.457685 8.000000 0.000000 0.000000 0.000000
-9.917199 38.457685 8.000000 0.000000 0.000000 0.000000
-9.109172 38.457685 8.000000 0.000000 0.000000 0.000000
-8.301145 38.457685 8.000000 0.000000 0.000000 0.000000
-7.493117 38.457685 8.000000 0.000000 0.000000 0.000000
-6.685090 38.457685 8.000000 0.000000 0.000000 0.000000
-5.877063 38.457685 8.000000 0.000000 0.000000 0.000000
-5.069036 38.457685 8.000000 0.000000 0.000000 0.000000
-4.261009 38.457685 8.000000 0.000000 0.000000 0.000000
-3.452981 38.457685 8.000000 0.000000 0.000000 0.000000
-2.644954 38.457685 8.000000 0.000000 0.000000 0.000000
-1.836927 38.457685 8.000000 0.000000 0.000000 0.000000
-1.028900 38.457685 8.000000 0.000000 0.000000 0.000000
-0.220872 38.457685 8.000000 0.000000 0.000000 0.000000
0.587155 38.457685 8.000000 0.000000 0.000000 0.000000
1.395182 38.457685 8.000000 0.000000 0.000000 0.000000
2.203209 38.457685 8.000000 0.000000 0.000000 0.000000
3.011236 38.457685 8.000000 0.000000 0.000000 0.000000
3.819264 38.457685 8.000000 0.000000 0.000000 0.000000
4.627291 38.457685 8.000000 0.000000 0.000000 0.000000
5.435318 38.457685 8.000000 0.000000 0.000000 0.000000
6.243345 38.457685 8.000000 0.000000 0.000000 0.000000
7.051372 38.457685 8.000000 0.000000 0.000000 0.000000
7.859400 38.457685 8.000000 0.000000 0.000000 0.000000
8.667427 38.457685 8.000000 0.000000 0.000000 0.000000
9.475454 38.457685 8.000000 0.000000 0.000000 0.000000
10.283481 38.457685 8.000000 0.000000 0.000000 0.000000
11.091508 38.457685 8.000000 0.000000 0.000000 0.000000
11.899536 38.457685 8.000000 0.000000 0.000000 0.000000
12.707563 38.457685 8.000000 0.000000 0.000000 0.000000
13.515590 38.457685 8.000000 0.000000 0.000000 0.000000
14.323617 38.457685 8.000000 0.000000 0.000000 0.000000
15.131644 38.457685 8.000000 0.000000 0.000000 0.000000
15.939672 38.457685 8.000000 0.000000 0.000000 0.000000
16.747699 38.457685 8.000000 0.000000 0.000000 0.000000
17.555726 38.457685 8.000000 0.000000 0.000000 0.000000
18.363753 38.457685 8.000000 0.000000 0.000000 0.000000
19.171780 38.457685 8.000000 0.000000 0.000000 0.000000
19.979808 38.457685 8.000000 0.000000 0.000000 0.000000
20.787835 38.457685 8.000000 0.000000 0.000000 0.000000
21.595862 38.457685 8.000000 0.000000 0.000000 0.000000
22.403889 38.457685 8.000000 0.000000 0.000000 0.000000
23.211917 38.457685 8.000000 0.000000 0.000000 0.000000
24.019944 38.457685 8.000000 0.000000 0.000000 0.000000
24.827971 38.457685 8.000000 0.000000 0.000000 0.000000
25.635998 38.457685 8.000000 0.000000 0.000000 0.000000
